"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2016-07-19 19:57:03.438816,FALSE,FALSE,0,FALSE,2016-07-19 19:57:03.438816,0
2016-07-20 04:29:23.713296,TRUE,FALSE,0,FALSE,2016-07-20 04:29:23.713296,0
2016-07-20 20:02:19.435089,FALSE,FALSE,0,FALSE,2016-07-20 20:02:19.435089,0
2016-07-21 04:23:57.896855,TRUE,FALSE,0,FALSE,2016-07-21 04:23:57.896855,0
2016-07-21 19:54:18.551669,FALSE,FALSE,0,FALSE,2016-07-21 19:54:18.551669,0
2016-07-22 04:43:04.564911,TRUE,FALSE,0,FALSE,2016-07-22 04:43:04.564911,0
2016-07-22 20:02:32.825465,FALSE,FALSE,0,FALSE,2016-07-22 20:02:32.825465,0
2016-07-23 04:11:05.448331,TRUE,FALSE,0,FALSE,2016-07-23 04:11:05.448331,0
2016-07-23 19:59:18.551669,FALSE,FALSE,0,FALSE,2016-07-23 19:59:18.551669,0
2016-07-24 04:14:23.713296,TRUE,FALSE,0,FALSE,2016-07-24 04:14:23.713296,0
2016-07-24 19:50:00.763812,FALSE,FALSE,0,FALSE,2016-07-24 19:50:00.763812,0
2016-07-25 04:41:05.448331,TRUE,FALSE,0,FALSE,2016-07-25 04:41:05.448331,0
2016-07-25 19:39:18.551669,FALSE,FALSE,0,FALSE,2016-07-25 19:39:18.551669,0
2016-07-26 04:23:20.561184,TRUE,FALSE,0,FALSE,2016-07-26 04:23:20.561184,0
2016-07-26 19:47:24.931994,FALSE,FALSE,0,FALSE,2016-07-26 19:47:24.931994,0
2016-07-27 04:35:23.236188,TRUE,FALSE,0,FALSE,2016-07-27 04:35:23.236188,0
2016-07-27 19:52:19.435089,FALSE,FALSE,0,FALSE,2016-07-27 19:52:19.435089,0
2016-07-28 05:05:00.867038,TRUE,FALSE,0,FALSE,2016-07-28 05:05:00.867038,0
2016-07-28 19:57:03.438816,FALSE,FALSE,0,FALSE,2016-07-28 19:57:03.438816,0
2016-07-29 04:41:05.448331,TRUE,FALSE,0,FALSE,2016-07-29 04:41:05.448331,0
2016-07-29 19:42:19.435089,FALSE,FALSE,0,FALSE,2016-07-29 19:42:19.435089,0
2016-07-30 04:32:51.717551,TRUE,FALSE,0,FALSE,2016-07-30 04:32:51.717551,0
2016-07-30 19:47:03.438816,FALSE,FALSE,0,FALSE,2016-07-30 19:47:03.438816,0
2016-07-31 04:46:05.448331,TRUE,FALSE,0,FALSE,2016-07-31 04:46:05.448331,0
2016-07-31 19:59:18.551669,FALSE,FALSE,0,FALSE,2016-07-31 19:59:18.551669,0
2016-08-01 04:47:50.355763,TRUE,FALSE,0,FALSE,2016-08-01 04:47:50.355763,0
2016-08-01 19:47:03.438816,FALSE,FALSE,0,FALSE,2016-08-01 19:47:03.438816,0
2016-08-02 04:54:36.851755,TRUE,FALSE,0,FALSE,2016-08-02 04:54:36.851755,0
2016-08-02 19:42:03.438816,FALSE,FALSE,0,FALSE,2016-08-02 19:42:03.438816,0
2016-08-03 04:35:00.867038,TRUE,FALSE,0,FALSE,2016-08-03 04:35:00.867038,0
2016-08-03 19:42:03.438816,FALSE,FALSE,0,FALSE,2016-08-03 19:42:03.438816,0
2016-08-04 04:58:20.561184,TRUE,FALSE,0,FALSE,2016-08-04 04:58:20.561184,0
2016-08-04 19:49:18.551669,FALSE,FALSE,0,FALSE,2016-08-04 19:49:18.551669,0
2016-08-05 04:54:19.056592,TRUE,FALSE,0,FALSE,2016-08-05 04:54:19.056592,0
2016-08-05 19:40:37.260457,FALSE,FALSE,0,FALSE,2016-08-05 19:40:37.260457,0
2016-08-06 04:38:51.425466,TRUE,FALSE,0,FALSE,2016-08-06 04:38:51.425466,0
2016-08-06 19:45:54.521726,FALSE,FALSE,0,FALSE,2016-08-06 19:45:54.521726,0
2016-08-07 05:07:44.646663,TRUE,FALSE,0,FALSE,2016-08-07 05:07:44.646663,0
2016-08-07 19:27:32.825465,FALSE,FALSE,0,FALSE,2016-08-07 19:27:32.825465,0
2016-08-08 04:48:04.564911,TRUE,FALSE,0,FALSE,2016-08-08 04:48:04.564911,0
2016-08-08 19:32:03.438816,FALSE,FALSE,0,FALSE,2016-08-08 19:32:03.438816,0
2016-08-09 05:01:05.448331,TRUE,FALSE,0,FALSE,2016-08-09 05:01:05.448331,0
2016-08-09 19:05:00.763812,FALSE,FALSE,0,FALSE,2016-08-09 19:05:00.763812,0
2016-08-10 04:39:46.739543,TRUE,FALSE,0,FALSE,2016-08-10 04:39:46.739543,0
2016-08-10 19:30:00.763812,FALSE,FALSE,0,FALSE,2016-08-10 19:30:00.763812,0
2016-08-11 04:42:06.349495,TRUE,FALSE,0,FALSE,2016-08-11 05:24:46.739543,0
2016-08-11 19:24:18.551669,FALSE,FALSE,0,FALSE,2016-08-11 19:24:18.551669,0
2016-08-12 05:01:05.448331,TRUE,FALSE,0,FALSE,2016-08-12 05:01:05.448331,0
2016-08-12 19:27:24.931994,FALSE,FALSE,0,FALSE,2016-08-12 19:27:24.931994,0
2016-08-13 05:01:05.448331,TRUE,FALSE,0,FALSE,2016-08-13 05:01:05.448331,0
2016-08-13 19:15:54.521726,FALSE,FALSE,0,FALSE,2016-08-13 19:15:54.521726,0
2016-08-14 05:08:04.564911,TRUE,FALSE,0,FALSE,2016-08-14 05:08:04.564911,0
2016-08-14 19:26:29.702642,FALSE,FALSE,0,FALSE,2016-08-14 19:26:29.702642,0
2016-08-15 04:56:05.448331,TRUE,FALSE,0,FALSE,2016-08-15 04:56:05.448331,0
