"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2016-06-15 20:36:05.763812,FALSE,FALSE,0,FALSE,2016-06-15 20:36:05.763812,0
2016-06-16 03:59:09.564911,TRUE,FALSE,0,FALSE,2016-06-16 03:59:09.564911,0
2016-06-16 20:26:28.132962,FALSE,FALSE,0,FALSE,2016-06-16 20:26:28.132962,0
2016-06-17 03:44:25.561184,TRUE,FALSE,0,FALSE,2016-06-17 03:44:25.561184,0
2016-06-17 20:13:08.438816,FALSE,FALSE,0,FALSE,2016-06-17 20:13:08.438816,0
2016-06-18 03:55:51.739543,TRUE,FALSE,0,FALSE,2016-06-18 03:55:51.739543,0
2016-06-18 20:03:24.435089,FALSE,FALSE,0,FALSE,2016-06-18 20:03:24.435089,0
2016-06-19 04:03:59.484337,TRUE,FALSE,0,FALSE,2016-06-19 04:03:59.484337,0
2016-06-19 20:20:23.551669,FALSE,FALSE,0,FALSE,2016-06-19 20:20:23.551669,0
2016-06-20 03:58:58.282366,TRUE,FALSE,0,FALSE,2016-06-20 03:58:58.282366,0
2016-06-20 20:16:28.132962,FALSE,FALSE,0,FALSE,2016-06-20 20:16:28.132962,0
2016-06-21 04:04:04.068006,TRUE,FALSE,0,FALSE,2016-06-21 04:04:04.068006,0
2016-06-21 20:23:34.515663,FALSE,FALSE,0,FALSE,2016-06-21 20:23:34.515663,0
2016-06-22 03:55:11.68102,TRUE,FALSE,0,FALSE,2016-06-22 03:55:11.68102,0
2016-06-22 20:25:23.551669,FALSE,FALSE,0,FALSE,2016-06-22 20:25:23.551669,0
2016-06-23 03:58:57.398504,TRUE,FALSE,0,FALSE,2016-06-23 03:58:57.398504,0
2016-06-23 20:20:23.551669,FALSE,FALSE,0,FALSE,2016-06-23 20:20:23.551669,0
2016-06-24 03:59:09.564911,TRUE,FALSE,0,FALSE,2016-06-24 03:59:09.564911,0
2016-06-24 20:18:29.931994,FALSE,FALSE,0,FALSE,2016-06-24 20:18:29.931994,0
