"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2016-06-16 20:17:46.435089,FALSE,FALSE,0,FALSE,2016-06-16 20:17:46.435089,0
2016-06-17 03:43:31.564911,TRUE,FALSE,0,FALSE,2016-06-17 03:43:31.564911,0
2016-06-17 20:18:01.478662,FALSE,FALSE,0,FALSE,2016-06-17 20:18:01.478662,0
2016-06-18 03:43:31.564911,TRUE,FALSE,0,FALSE,2016-06-18 03:43:31.564911,0
2016-06-18 20:29:45.551669,FALSE,FALSE,0,FALSE,2016-06-18 20:29:45.551669,0
2016-06-19 03:33:47.561184,TRUE,FALSE,0,FALSE,2016-06-19 03:33:47.561184,0
2016-06-19 20:30:27.763812,FALSE,FALSE,0,FALSE,2016-06-19 20:30:27.763812,0
2016-06-20 03:33:47.561184,TRUE,FALSE,0,FALSE,2016-06-20 03:33:47.561184,0
2016-06-20 20:27:46.435089,FALSE,FALSE,0,FALSE,2016-06-20 20:27:46.435089,0
2016-06-21 03:38:47.561184,TRUE,FALSE,0,FALSE,2016-06-21 03:38:47.561184,0
2016-06-21 20:29:45.551669,FALSE,FALSE,0,FALSE,2016-06-21 20:29:45.551669,0
2016-06-22 03:41:32.448331,TRUE,FALSE,0,FALSE,2016-06-22 03:41:32.448331,0
2016-06-22 20:30:27.763812,FALSE,FALSE,0,FALSE,2016-06-22 20:30:27.763812,0
2016-06-23 03:38:47.561184,TRUE,FALSE,0,FALSE,2016-06-23 03:38:47.561184,0
2016-06-23 20:12:54.763198,FALSE,FALSE,0,FALSE,2016-06-23 20:12:54.763198,0
2016-06-24 03:48:31.564911,TRUE,FALSE,0,FALSE,2016-06-24 03:48:31.564911,0
2016-06-24 20:22:51.931994,FALSE,FALSE,0,FALSE,2016-06-24 20:22:51.931994,0
2016-06-25 03:50:50.236188,TRUE,FALSE,0,FALSE,2016-06-25 03:50:50.236188,0
2016-06-25 20:12:30.438816,FALSE,FALSE,0,FALSE,2016-06-25 20:12:30.438816,0
2016-06-26 03:50:27.867038,TRUE,FALSE,0,FALSE,2016-06-26 03:50:27.867038,0
2016-06-26 20:31:04.260457,FALSE,FALSE,0,FALSE,2016-06-26 20:31:04.260457,0
2016-06-27 03:59:56.478274,TRUE,FALSE,0,FALSE,2016-06-27 03:59:56.478274,0
2016-06-27 20:22:51.931994,FALSE,FALSE,0,FALSE,2016-06-27 20:22:51.931994,0
2016-06-28 03:51:32.448331,TRUE,FALSE,0,FALSE,2016-06-28 03:51:32.448331,0
2016-06-28 20:32:54.763198,FALSE,FALSE,0,FALSE,2016-06-28 20:32:54.763198,0
2016-06-29 03:48:20.282366,TRUE,FALSE,0,FALSE,2016-06-29 03:48:20.282366,0
2016-06-29 20:39:45.551669,FALSE,FALSE,0,FALSE,2016-06-29 20:39:45.551669,0
2016-06-30 03:48:26.068006,TRUE,FALSE,0,FALSE,2016-06-30 03:48:26.068006,0
2016-06-30 20:27:30.438816,FALSE,FALSE,0,FALSE,2016-06-30 20:27:30.438816,0
2016-07-01 03:53:47.561184,TRUE,FALSE,0,FALSE,2016-07-01 03:53:47.561184,0
2016-07-01 20:12:51.931994,FALSE,FALSE,0,FALSE,2016-07-01 20:12:51.931994,0
2016-07-02 03:53:47.561184,TRUE,FALSE,0,FALSE,2016-07-02 03:53:47.561184,0
2016-07-02 20:12:57.717634,FALSE,FALSE,0,FALSE,2016-07-02 20:12:57.717634,0
2016-07-03 03:50:50.236188,TRUE,FALSE,0,FALSE,2016-07-03 03:50:50.236188,0
2016-07-03 20:17:30.438816,FALSE,FALSE,0,FALSE,2016-07-03 20:17:30.438816,0
2016-07-04 03:46:32.448331,TRUE,FALSE,0,FALSE,2016-07-04 03:46:32.448331,0
2016-07-04 20:12:46.435089,FALSE,FALSE,0,FALSE,2016-07-04 20:12:46.435089,0
2016-07-05 03:43:47.561184,TRUE,FALSE,0,FALSE,2016-07-05 03:43:47.561184,0
2016-07-05 20:17:30.438816,FALSE,FALSE,0,FALSE,2016-07-05 20:17:30.438816,0
2016-07-06 03:48:31.564911,TRUE,FALSE,0,FALSE,2016-07-06 03:48:31.564911,0
2016-07-06 20:04:45.551669,FALSE,FALSE,0,FALSE,2016-07-06 20:04:45.551669,0
2016-07-07 04:08:23.236802,TRUE,FALSE,0,FALSE,2016-07-07 04:08:23.236802,0
2016-07-07 20:17:46.435089,FALSE,FALSE,0,FALSE,2016-07-07 20:17:46.435089,0
