"series","timestamp","value","label"
"Rise","2024-07-23T04:05:46Z",225,"1"
"Set","2024-07-23T20:15:46Z",1195,"1"
"Rise","2024-07-24T04:10:46Z",230,"1"
"Set","2024-07-24T20:15:46Z",1195,"1"
"Rise","2024-07-25T04:00:46Z",220,"1"
"Set","2024-07-25T20:05:46Z",1185,"1"
"Rise","2024-07-26T04:15:46Z",235,"1"
"Set","2024-07-26T20:05:46Z",1185,"1"
"Rise","2024-07-27T04:15:46Z",235,"1"
"Set","2024-07-27T20:05:46Z",1185,"1"
"Rise","2024-07-28T04:10:46Z",230,"1"
"Set","2024-07-28T20:10:46Z",1190,"1"
"Rise","2024-07-29T04:15:46Z",235,"1"
"Set","2024-07-29T20:05:46Z",1185,"1"
"Rise","2024-07-30T04:20:46Z",240,"1"
"Set","2024-07-30T20:05:46Z",1185,"1"
"Rise","2024-07-31T04:30:46Z",250,"1"
"Set","2024-07-31T20:00:46Z",1180,"1"
"Rise","2024-08-01T04:20:46Z",240,"1"
"Set","2024-08-01T19:55:46Z",1175,"1"
"Rise","2024-08-02T04:15:46Z",235,"1"
"Set","2024-08-02T20:00:46Z",1180,"1"
"Rise","2024-08-03T04:25:46Z",245,"1"
"Set","2024-08-03T19:55:46Z",1175,"1"
"Rise","2024-08-04T04:30:46Z",250,"1"
"Set","2024-08-04T19:55:46Z",1175,"1"
"Rise","2024-08-05T04:20:46Z",240,"1"
"Set","2024-08-05T19:55:46Z",1175,"1"
"Rise","2024-08-06T04:35:46Z",255,"1"
"Set","2024-08-06T19:45:46Z",1165,"1"
"Rise","2024-08-07T04:30:46Z",250,"1"
"Set","2024-08-07T19:45:46Z",1165,"1"
"Rise","2024-08-08T04:25:46Z",245,"1"
"Set","2024-08-08T19:50:46Z",1170,"1"
"Rise","2024-08-09T04:35:46Z",255,"1"
"Set","2024-08-09T19:50:46Z",1170,"1"
"Rise","2024-08-10T04:45:46Z",265,"1"
"Set","2024-08-10T19:45:46Z",1165,"1"
"Rise","2024-08-11T04:30:46Z",250,"1"
"Set","2024-08-11T19:50:46Z",1170,"1"
"Rise","2024-08-12T04:35:46Z",255,"1"
"Set","2024-08-12T19:30:46Z",1150,"1"
"Rise","2024-08-13T04:40:46Z",260,"1"
"Set","2024-08-13T19:40:46Z",1160,"1"
"Rise","2024-08-14T04:50:46Z",270,"1"
"Set","2024-08-14T19:25:46Z",1145,"1"
"Rise","2024-08-15T04:40:46Z",260,"1"
"Set","2024-08-15T19:35:46Z",1155,"1"
"Rise","2024-08-16T04:40:46Z",260,"1"
"Set","2024-08-16T19:30:46Z",1150,"1"
"Rise","2024-08-17T04:45:46Z",265,"1"
"Set","2024-08-17T19:30:46Z",1150,"1"
"Rise","2024-08-18T04:50:46Z",270,"1"
"Set","2024-08-18T19:30:46Z",1150,"1"
"Rise","2024-08-19T04:40:46Z",260,"1"
"Set","2024-08-19T19:30:46Z",1150,"1"
"Rise","2024-08-20T04:45:46Z",265,"1"
"Set","2024-08-20T19:25:46Z",1145,"1"
"Rise","2024-08-21T04:40:46Z",260,"1"
"Set","2024-08-21T19:20:46Z",1140,"1"
"Rise","2024-08-22T04:50:46Z",270,"1"
"Set","2024-08-22T19:20:46Z",1140,"1"
"Rise","2024-08-23T05:05:46Z",285,"1"
"Set","2024-08-23T19:10:46Z",1130,"1"
"Rise","2024-08-24T05:05:46Z",285,"1"
"Set","2024-08-24T19:20:46Z",1140,"1"
"Rise","2024-08-25T04:50:46Z",270,"1"
"Set","2024-08-25T19:15:46Z",1135,"1"
"Rise","2024-08-26T04:55:46Z",275,"1"
"Set","2024-08-26T19:20:46Z",1140,"1"
"Rise","2024-08-27T04:55:46Z",275,"1"
"Set","2024-08-27T19:05:46Z",1125,"1"
"Rise","2024-08-28T04:45:46Z",265,"1"
"Set","2024-08-28T19:15:46Z",1135,"1"
"Rise","2024-08-29T05:00:46Z",280,"1"
"Set","2024-08-29T19:10:46Z",1130,"1"
"Rise","2024-08-30T05:10:46Z",290,"2"
"Set","2024-08-30T19:10:46Z",1130,"2"
"Rise","2024-08-31T05:40:46Z",320,"3"
"Set","2024-08-31T18:35:46Z",1095,"3"
"Rise","2024-09-01T05:05:46Z",285,"3"
