series,timestamp,value,label
pressure,2024-05-24T13:50:46.000Z,1019.81714,
pressure,2024-05-24T14:10:46.000Z,1019.77915,
pressure,2024-05-24T14:30:46.000Z,1019.88715,
pressure,2024-05-24T14:50:46.000Z,1020.00633,
pressure,2024-05-24T15:10:46.000Z,1019.67539,
pressure,2024-05-24T15:30:46.000Z,1020.07731,
pressure,2024-05-24T15:50:46.000Z,1020.04501,
pressure,2024-05-24T16:10:46.000Z,1019.33096,
pressure,2024-05-24T16:30:46.000Z,1019.63289,
pressure,2024-05-24T16:50:46.000Z,1019.25863,
pressure,2024-05-24T17:10:46.000Z,1019.52018,
pressure,2024-05-24T17:30:46.000Z,1019.6896,
pressure,2024-05-24T17:50:46.000Z,1019.29217,
pressure,2024-05-24T18:10:46.000Z,1019.6811,
pressure,2024-05-24T18:30:46.000Z,1019.23327,
pressure,2024-05-24T18:50:46.000Z,1019.0394,
pressure,2024-05-24T19:10:46.000Z,1019.34805,
pressure,2024-05-24T19:30:46.000Z,1019.09976,
pressure,2024-05-24T19:50:46.000Z,1019.59471,
pressure,2024-05-24T20:10:46.000Z,1019.49549,
pressure,2024-05-24T20:30:46.000Z,1019.76608,
pressure,2024-05-24T20:50:46.000Z,1019.91582,
pressure,2024-05-24T21:10:46.000Z,1019.88378,
pressure,2024-05-24T21:30:46.000Z,1019.93218,
pressure,2024-05-24T21:50:46.000Z,1019.79359,
pressure,2024-05-24T22:10:46.000Z,1019.76678,
pressure,2024-05-24T22:30:46.000Z,1019.79359,
pressure,2024-05-24T22:50:46.000Z,1019.7518,
pressure,2024-05-24T23:10:46.000Z,1019.62817,
pressure,2024-05-24T23:30:46.000Z,1019.48434,
pressure,2024-05-24T23:50:46.000Z,1019.22797,
pressure,2024-05-25T00:10:46.000Z,1019.11991,
pressure,2024-05-25T00:30:46.000Z,1018.9872,
pressure,2024-05-25T00:50:46.000Z,1018.82169,
pressure,2024-05-25T01:10:46.000Z,1018.70388,
pressure,2024-05-25T01:30:46.000Z,1018.54953,
pressure,2024-05-25T01:50:46.000Z,1018.42647,
pressure,2024-05-25T02:10:46.000Z,1018.28254,
pressure,2024-05-25T02:30:46.000Z,1018.15346,
pressure,2024-05-25T02:50:46.000Z,1018.07288,
pressure,2024-05-25T03:10:46.000Z,1017.82142,
pressure,2024-05-25T03:30:46.000Z,1017.74521,
pressure,2024-05-25T03:50:46.000Z,1017.56552,
pressure,2024-05-25T04:10:46.000Z,1017.76928,
pressure,2024-05-25T04:30:46.000Z,1017.24729,
pressure,2024-05-25T04:50:46.000Z,1017.51095,
pressure,2024-05-25T05:10:46.000Z,1017.60723,
pressure,2024-05-25T05:30:46.000Z,1017.45197,
pressure,2024-05-25T05:50:46.000Z,1017.76768,
pressure,2024-05-25T06:10:46.000Z,1017.368,
pressure,2024-05-25T06:30:46.000Z,1017.49367,
pressure,2024-05-25T06:50:46.000Z,1017.44868,
pressure,2024-05-25T07:10:46.000Z,1017.23352,
pressure,2024-05-25T07:30:46.000Z,1017.14761,
pressure,2024-05-25T07:50:46.000Z,1017.32929,
pressure,2024-05-25T08:10:46.000Z,1017.58668,
pressure,2024-05-25T08:30:46.000Z,1017.45993,
pressure,2024-05-25T08:50:46.000Z,1017.33068,
pressure,2024-05-25T09:10:46.000Z,1017.3152,
pressure,2024-05-25T09:30:46.000Z,1017.03395,
pressure,2024-05-25T09:50:46.000Z,1017.43155,
pressure,2024-05-25T10:10:46.000Z,1016.95493,
pressure,2024-05-25T10:30:46.000Z,1016.72481,
pressure,2024-05-25T10:50:46.000Z,1016.64997,
pressure,2024-05-25T11:10:46.000Z,1016.9245,
pressure,2024-05-25T11:30:46.000Z,1017.23711,
pressure,2024-05-25T11:50:46.000Z,1017.19197,
pressure,2024-05-25T12:10:46.000Z,1016.99296,
pressure,2024-05-25T12:30:46.000Z,1016.83851,
pressure,2024-05-25T12:50:46.000Z,1016.39674,
pressure,2024-05-25T13:10:46.000Z,1016.40841,
pressure,2024-05-25T13:30:46.000Z,1016.34134,
pressure,2024-05-25T13:50:46.000Z,1016.27487,
pressure,2024-05-25T14:10:46.000Z,1015.96529,
pressure,2024-05-25T14:30:46.000Z,1015.92459,
pressure,2024-05-25T14:50:46.000Z,1015.93458,
pressure,2024-05-25T15:10:46.000Z,1015.8868,
pressure,2024-05-25T15:30:46.000Z,1015.68243,
pressure,2024-05-25T15:50:46.000Z,1015.70135,
pressure,2024-05-25T16:10:46.000Z,1015.29554,
pressure,2024-05-25T16:30:46.000Z,1015.06453,
pressure,2024-05-25T16:50:46.000Z,1015.0193,
pressure,2024-05-25T17:10:46.000Z,1014.95496,
pressure,2024-05-25T17:30:46.000Z,1015.26527,
pressure,2024-05-25T17:50:46.000Z,1015.13565,
pressure,2024-05-25T18:10:46.000Z,1014.80873,
pressure,2024-05-25T18:30:46.000Z,1015.1054,
pressure,2024-05-25T18:50:46.000Z,1014.98617,
pressure,2024-05-25T19:10:46.000Z,1014.96729,
pressure,2024-05-25T19:30:46.000Z,1014.82108,
pressure,2024-05-25T19:50:46.000Z,1015.07419,
pressure,2024-05-25T20:10:46.000Z,1015.45491,
pressure,2024-05-25T20:30:46.000Z,1015.27945,
pressure,2024-05-25T20:50:46.000Z,1015.38819,
pressure,2024-05-25T21:10:46.000Z,1015.51067,
pressure,2024-05-25T21:30:46.000Z,1015.41942,
pressure,2024-05-25T21:50:46.000Z,1015.31255,
pressure,2024-05-25T22:10:46.000Z,1015.57068,
pressure,2024-05-25T22:30:46.000Z,1015.59242,
pressure,2024-05-25T22:50:46.000Z,1015.63406,
pressure,2024-05-25T23:10:46.000Z,1015.54986,
pressure,2024-05-25T23:30:46.000Z,1015.51772,
pressure,2024-05-25T23:50:46.000Z,1015.51772,
pressure,2024-05-26T00:10:46.000Z,1015.42648,
pressure,2024-05-26T00:30:46.000Z,1015.54466,
pressure,2024-05-26T00:50:46.000Z,1015.48037,
pressure,2024-05-26T01:10:46.000Z,1015.57068,
pressure,2024-05-26T01:30:46.000Z,1015.62456,
pressure,2024-05-26T01:50:46.000Z,1015.87219,
pressure,2024-05-26T02:10:46.000Z,1016.01114,
pressure,2024-05-26T02:30:46.000Z,1015.98942,
pressure,2024-05-26T02:50:46.000Z,1016.26731,
pressure,2024-05-26T03:10:46.000Z,1016.29944,
pressure,2024-05-26T03:30:46.000Z,1016.33765,
pressure,2024-05-26T03:50:46.000Z,1016.76564,
pressure,2024-05-26T04:10:46.000Z,1016.37239,
pressure,2024-05-26T04:30:46.000Z,1016.99043,
pressure,2024-05-26T04:50:46.000Z,1017.14055,
pressure,2024-05-26T05:10:46.000Z,1017.09113,
pressure,2024-05-26T05:30:46.000Z,1017.25772,
pressure,2024-05-26T05:50:46.000Z,1017.63964,
pressure,2024-05-26T06:10:46.000Z,1017.4591,
pressure,2024-05-26T06:30:46.000Z,1017.67802,
pressure,2024-05-26T06:50:46.000Z,1017.7856,
pressure,2024-05-26T07:10:46.000Z,1017.96582,
pressure,2024-05-26T07:30:46.000Z,1018.38784,
pressure,2024-05-26T07:50:46.000Z,1018.72985,
pressure,2024-05-26T08:10:46.000Z,1018.62212,
pressure,2024-05-26T08:30:46.000Z,1018.68424,
pressure,2024-05-26T08:50:46.000Z,1019.06396,
pressure,2024-05-26T09:10:46.000Z,1018.92675,
pressure,2024-05-26T09:30:46.000Z,1019.09081,
pressure,2024-05-26T09:50:46.000Z,1019.26825,
pressure,2024-05-26T10:10:46.000Z,1019.63812,
pressure,2024-05-26T10:30:46.000Z,1019.844,
pressure,2024-05-26T10:50:46.000Z,1019.52335,
pressure,2024-05-26T11:10:46.000Z,1019.8291,
pressure,2024-05-26T11:30:46.000Z,1019.81116,
pressure,2024-05-26T11:50:46.000Z,1019.95438,
pressure,2024-05-26T12:10:46.000Z,1020.10557,
pressure,2024-05-26T12:30:46.000Z,1020.21145,
pressure,2024-05-26T12:50:46.000Z,1019.87161,
pressure,2024-05-26T13:10:46.000Z,1020.27484,
pressure,2024-05-26T13:30:46.000Z,1020.33394,
pressure,2024-05-26T13:50:46.000Z,1020.13097,
pressure,2024-05-26T14:10:46.000Z,1020.12406,
pressure,2024-05-26T14:30:46.000Z,1020.10936,
pressure,2024-05-26T14:50:46.000Z,1020.21667,
pressure,2024-05-26T15:10:46.000Z,1020.40581,
pressure,2024-05-26T15:30:46.000Z,1020.23037,
pressure,2024-05-26T15:50:46.000Z,1020.32919,
pressure,2024-05-26T16:10:46.000Z,1020.32014,
pressure,2024-05-26T16:30:46.000Z,1020.46671,
pressure,2024-05-26T16:50:46.000Z,1020.43854,
pressure,2024-05-26T17:10:46.000Z,1020.42217,
pressure,2024-05-26T17:30:46.000Z,1020.54372,
pressure,2024-05-26T17:50:46.000Z,1020.76475,
pressure,2024-05-26T18:10:46.000Z,1020.76675,
pressure,2024-05-26T18:30:46.000Z,1020.76415,
pressure,2024-05-26T18:50:46.000Z,1020.77841,
pressure,2024-05-26T19:10:46.000Z,1020.8517,
pressure,2024-05-26T19:30:46.000Z,1020.80465,
pressure,2024-05-26T19:50:46.000Z,1020.71187,
pressure,2024-05-26T20:10:46.000Z,1021.06271,
pressure,2024-05-26T20:30:46.000Z,1021.24825,
pressure,2024-05-26T20:50:46.000Z,1021.37229,
pressure,2024-05-26T21:10:46.000Z,1021.45721,
pressure,2024-05-26T21:30:46.000Z,1021.47936,
pressure,2024-05-26T21:50:46.000Z,1021.39321,
pressure,2024-05-26T22:10:46.000Z,1021.38798,
pressure,2024-05-26T22:30:46.000Z,1021.36121,
pressure,2024-05-26T22:50:46.000Z,1021.42459,
pressure,2024-05-26T23:10:46.000Z,1021.42521,
pressure,2024-05-26T23:30:46.000Z,1021.38798,
pressure,2024-05-26T23:50:46.000Z,1021.33506,
pressure,2024-05-27T00:10:46.000Z,1021.28152,
pressure,2024-05-27T00:30:46.000Z,1021.19073,
pressure,2024-05-27T00:50:46.000Z,1021.07903,
pressure,2024-05-27T01:10:46.000Z,1021.1535,
pressure,2024-05-27T01:30:46.000Z,1021.02024,
pressure,2024-05-27T01:50:46.000Z,1020.97778,
pressure,2024-05-27T02:10:46.000Z,1020.79093,
pressure,2024-05-27T02:30:46.000Z,1020.81249,
pressure,2024-05-27T02:50:46.000Z,1020.70534,
pressure,2024-05-27T03:10:46.000Z,1020.69946,
pressure,2024-05-27T03:30:46.000Z,1020.79551,
pressure,2024-05-27T03:50:46.000Z,1020.89155,
pressure,2024-05-27T04:10:46.000Z,1020.87321,
pressure,2024-05-27T04:30:46.000Z,1020.96273,
pressure,2024-05-27T04:50:46.000Z,1020.75892,
pressure,2024-05-27T05:10:46.000Z,1021.27168,
pressure,2024-05-27T05:30:46.000Z,1021.25934,
pressure,2024-05-27T05:50:46.000Z,1021.2091,
